N,A,T,
8,0,0.0001,
8,1,0,
8,2,0,
8,3,0.0001,
16,0,0.0002,
16,1,0.0001,
16,2,0,
16,3,0,
32,0,0.002,
32,1,0.0003,
32,2,0,
32,3,0,
64,0,0.0115,
64,1,0.001,
64,2,0.0002,
64,3,0.0001,
128,0,0.0908,
128,1,0.0034,
128,2,0.0006,
128,3,0,
256,0,0.6872,
256,1,0.0134,
256,2,0.0009,
256,3,0.0001,
512,0,5.3817,
512,1,0.0594,
512,2,0.0014,
512,3,0.0005,
1024,0,42.717,
1024,1,0.2135,
1024,2,0.0033,
1024,3,0.0005,
2048,1,0.8245,
2048,2,0.0073,
2048,3,0.0009,
4096,1,3.2583,
4096,2,0.0159,
4096,3,0.0019,
8192,1,13.0274,
8192,2,0.0301,
8192,3,0.0033,
